PARENTSITE,PARENTSITE_ID,SUBSITE,SUBSITE_ID,MML_ID,BEACH_NO,FROM_TO,NO_RPT,REGION,REGNO,RCA,E_W_144,ROOK,TREND_70,TREND_90,TREND_00,CH_93R,PUPS_50,CH_PROPOSEDR,CH_93HO,NP_BRD_200,NP_NONBRD_100,CH_PROPOSEDHO,LAT,LON,HEM,SITE_ORIG/A-B,COMPLEX_ORIG,PUP,JUV,GPSID,IS_NO,SITE_NO,SEQ_NO,REDUNDANT,SUBSTR_CODE,SUBSTR_DESCR,ORIENT,NOTES,,
KISKA/SOBAKA-VEGA,217,KISKA/SOBAKA-VEGA,A,453A,1,FROM,1,C ALEU,10,2,W,0,0,1,1,,,,1,1,1,1,51.825,177.317,E,KISKA/SOBAKA-VEGA/A,KISKA/SOBAKA-VEGA,,,SOBK1,981,3,312,2,,,,,,
KISKA/SOBAKA-VEGA,217,KISKA/SOBAKA-VEGA/B,B,453B,2,TO,0,C ALEU,10,2,W,0,0,1,1,,,,1,1,1,1,51.808,177.342,E,KISKA/SOBAKA-VEGA/B,KISKA/SOBAKA-VEGA,,,SOBK1,981,3,312,2,,,,,,
KISKA/SOUTH HEAD,218,KISKA/SOUTH HEAD,A,451,,,1,C ALEU,10,2,W,0,0,0,1,,,,,,,,51.952,177.608,E,KISKA/SOUTH HEAD,,,,KSOHD,981,1,310.2,,,,,,,
KISKA/WITCHCRAFT POINT,219,KISKA/WITCHCRAFT POINT,A,456,,,1,C ALEU,10,2,W,0,0,0,1,,,,,,,,52.048,177.493,E,KISKA/WITCHCRAFT POINT,,,,WITCH,981,6,315,2,,,,,,
KISKA/WOLF POINT,220,KISKA/WOLF POINT,A,457,,,1,C ALEU,10,2,W,0,0,0,0,,,,,,,,52.117,177.558,E,KISKA/WOLF POINT,,,,WOLFP,981,7,316,2,,,,,,
KONIUJI/NORTH POINT,419,KONIUJI/NORTH POINT,A,387,,,1,C ALEU,10,4,W,0,0,0,1,,,,,,,,52.225,-175.142,W,KONIUJI/NORTH POINT,,,,KONUJ,315,0,258,,3,ROCKY,,,,
LITTLE SITKIN,221,LITTLE SITKIN,A,443,,,1,C ALEU,10,2,W,0,0,0,0,,,,1,,1,1,51.988,178.497,E,LITTLE SITKIN,,,1,SITKN,891,0,306,,,OFFSHORE R,,,,
LITTLE TANAGA STRAIT,420,LITTLE TANAGA STRAIT,A,397,,,1,C ALEU,10,4,W,0,1,1,1,,,,1,1,1,1,51.820,-176.229,W,LITTLE TANAGA STRAIT,,,1,LTANA,495,0,268,1,3,ROCKY,,deleted dupl labeled as critical habitat,,
LITTLE TANAGA STRAIT,420,LITTLE TANAGA STRAIT/B,B,397B,,,1,C ALEU,10,4,W,0,1,1,1,,,,1,1,1,1,51.820,-176.229,W,LITTLE TANAGA STRAIT,,,1,LTANA,495,0,268,1,3,ROCKY,,ADDED 10/10/2018 FROM 2018 ASSLAP NOTES,,
OGLIUGA,313,OGLIUGA,A,419,,,1,C ALEU,10,3,W,0,0,0,1,,,,,,,,51.616,-178.657,W,OGLIUGA,,,,OGLIU,693,0,284,,,,,,,
